CommonElementNumber,CommonElementName,Synonyms,Description,ElementType,Format,Unit,Element_Allowed_Values_Def,ReportTemplates,Source,PHI,Program-PReference,RegistryName,RegistryElementName,RegistryElementNumber-Section-Subsection,Registry_allowed_values_Defination_Notes,Minimum,Maximum,MaxLength,Step,Usage,Conditional,Cardinality,Hint,RegistryReportTemplates,FirstActiveVersion,LastActiveVersion,Category,Procedure,Modality,BodyArea,Anatomy,
,Nipple in profile,,"identify whether nipple is in profile on one view, one criteria for an adequate image.�",enumerated,,,nipple not visible| nipple visible,,DSI,,Breast panel,Nipple in profile,Nipple in profile,,nipple not visible| nipple visible,,,,,Required,,One,Nipple in profile,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Motion blur,,identify  whether the image contains blur. Blur in the image may require further imaging,enumerated,,,no motion blur| image contains motion blur,,DSI,,Breast panel,Motion blur,Motion blur,,no motion blur| image contains motion blur,,,,,Required,,One,Motion blur,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Adequate visualization of posterior breast tissue,,adequate visualization of posterior breast tissue,enumerated,,,inadequate visualization| adequate visualization,,DSI,,Breast panel,Adequate visualization of posterior breast tissue,Adequate visualization of posterior breast tissue,,inadequate visualization| adequate visualization,,,,,Required,,One,Adequate visualization of posterior breast tissue,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Sagging of the breast on MLP view,,excessive sagging of the breast on MLP view,enumerated,,,acceptable position| excessive sagging,,DSI,,Breast panel,Sagging of the breast on MLP view,Sagging of the breast on MLP view,,acceptable position| excessive sagging,,,,,Required,,One,Sagging of the breast on MLP view,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Inframammary fold visible on the MLP view,,inframammary fold visible on the MLO view,enumerated,,,inframammary fold no visible| inframammary fold visible,,DSI,,Breast panel,Inframammary fold visible on the MLP view,Inframammary fold visible on the MLP view,,inframammary fold no visible| inframammary fold visible,,,,,Required,,One,Inframammary fold visible on the MLP view,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Breast height on image receptor,,breast height on image receptor for MLO view,enumerated,,,acceptable breast height| breast too high,,DSI,,Breast panel,Breast height on image receptor,Breast height on image receptor,,acceptable breast height| breast too high,,,,,Required,,One,Breast height on image receptor,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Posterior nipple line on the CC view,,posterior nipple line on the CC view. Should measure less than 1 cm of the same measurement on the MLO view,float,,cm,,,DSI,,Breast panel,Posterior nipple line on the CC view,Posterior nipple line on the CC view,,,,,,,Required,,One,Posterior nipple line on the CC view,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Skin folds obscuring visualization,,skin folds from breast positioning that may obscure visualization,enumerated,,,no skin folds| skin folds may obscure visualization,,DSI,,Breast panel,Skin folds obscuring visualization,Skin folds obscuring visualization,,no skin folds| skin folds may obscure visualization,,,,,Required,,One,Skin folds obscuring visualization,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Excessive exaggeration,,excessive exaggeration of the breast on CC view,enumerated,,,no excessive exaggeration| excessive exaggeration,,DSI,,Breast panel,Excessive exaggeration,Excessive exaggeration,,no excessive exaggeration| excessive exaggeration,,,,,Required,,One,Excessive exaggeration,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,other body parts obscuring image,,determine if other body parts pojected over the breast on the inage obscure visualization of breast tissue,enumerated,,,no other body parts| other body parts present,,DSI,,Breast panel,other body parts obscuring image,other body parts obscuring image,,no other body parts| other body parts present,,,,,Required,,One,other body parts obscuring image,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Breast cut off,,identify if any portion of the breast is cut off,enumerated,,,no breast cut off in image| breast cut off in image,,DSI,,Breast panel,Breast cut off,Breast cut off,,no breast cut off in image| breast cut off in image,,,,,Required,,One,Breast cut off,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Additional view necessary,,identify whether further imaging should be taken based on the adequacy of previous imaging,enumerated,,,no further imaging necessary| further imaging necessary,,DSI,,Breast panel,Additional view necessary,Additional view necessary,,no further imaging necessary| further imaging necessary,,,,,Required,,One,Additional view necessary,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
